Country,Non-Renewable,Renewable,Total,Percentage RE (%)
Afghanistan,186.763,964.952,1151.715,83.78392224
Albania,,8553.486,8553.486,100
Algeria,75880,783.61,76663.61,1.022140752
American Samoa,161.992,4.832,166.824,2.896465736
Andorra,6.015,135.729,141.744,95.75643413
Angola,3086.478,7897.005,10983.483,71.89891403
Anguilla,100.515,1.985,102.5,1.936585366
Antigua and Barbuda,348.912,13.073,361.985,3.611475614
Argentina,95812.997,42501.036,138314.033,30.72792766
Armenia,5450.983,2339.957,7790.94,30.03433475
Aruba,827.094,147.104,974.198,15.10001047
Australia,216556,44443.001,260999.001,17.02803491
Austria,18561.138,50036.015,68597.153,72.94182457
Azerbaijan,23177,2052.201,25229.201,8.134229063
Bahamas,1897.631,3.493,1901.124,0.183733412
Bahrain,31824,9.45,31833.45,0.029685755
Bangladesh,73351.112,1181.515,74532.627,1.585231928
Barbados,1104.255,37.352,1141.607,3.271879027
Belarus,38158.5,827.5,38986,2.122556815
Belgium,57943.8,17150.8,75094.6,22.83892583
Belize,71.901,387.281,459.182,84.34150293
Benin,324.565,5.409,329.974,1.63922006
Bhutan,0.04,6960.422,6960.462,99.99942533
Bolivia (Plurinational State of),6982.094,2967.142,9949.236,29.82281253
"Bonaire, Sint Eustatius and Saba",91.4,45.541,136.941,33.25592774
Bosnia and Herzegovina,12610,6550,19160,34.18580376
Botswana,3497.4,4.707,3502.107,0.134404803
Brazil,106121.318,495945.366,602066.684,82.37382655
British Virgin Islands,272.727,1.558,274.285,0.568022313
Brunei Darussalam,4291.978,1.596,4293.574,0.037171829
Bulgaria,37537.866,9299.804,46837.67,19.85539417
Burkina Faso,957.903,182.38,1140.283,15.99427511
Burundi,53.317,254.049,307.366,82.65357912
Cabo Verde,340.268,89.352,429.62,20.79791444
Cambodia,3355.875,4856.77,8212.645,59.13770777
Cameroon,1883.7,5109.4,6993.1,73.06344826
Canada,216135.245,427969.776,644105.021,66.44409872
Cayman Islands,625.635,16.165,641.8,2.518697414
Central African Republic,5.2,136.026,141.226,96.31795845
Chad,230,9.218,239.218,3.853388959
Chile,44168.103,38514.565,82682.668,46.58118313
China,5185499.397,1811173.561,6996672.958,25.88621152
Chinese Taipei,264725.75,10852.25,275578,3.937995776
Colombia,12966.577,58433.27,71399.847,81.8394891
Comoros,50.12,,50.12,0
Congo,797,1242.216,2039.216,60.91635217
Cook Islands,30.929,10.729,41.658,25.75495703
Costa Rica,158.551,11206.51,11365.061,98.6049261
Côte d'Ivoire,7042.4,2968.8,10011.2,29.65478664
Croatia,3850.4,9781.3,13631.7,71.75407323
Cuba,20205.607,771.109,20976.716,3.676023454
Curaçao,618.956,252.615,871.571,28.98386936
Cyprus,4583.138,477.429,5060.567,9.434298568
Czechia,78606.703,9425.319,88032.022,10.70669375
Democratic People's Republic of Korea,12100,12849.786,24949.786,51.50259004
Democratic Republic of the Congo,180,9962.599,10142.599,98.22530695
Denmark,9610.876,20765.709,30376.585,68.36090693
Djibouti,537.32,0.6,537.92,0.11154075
Dominica,41.224,24.953,66.177,37.7064539
Dominican Republic,16903.839,2747.177,19651.016,13.9798217
Ecuador,8019.281,21224.306,29243.587,72.57764241
Egypt,181138.04,15917.867,197055.907,8.077843107
El Salvador,1199.974,4226.029,5426.003,77.88475237
Equatorial Guinea,937.075,127,1064.075,11.93524893
Eritrea,419,21.446,440.446,4.869155356
Estonia,10371,1988.802,12359.802,16.09088883
Eswatini,,412.487,412.487,100
Ethiopia,,13260.6,13260.6,100
Falkland Islands (Malvinas),12.006,6.773,18.779,36.06688322
Faroe Islands,180.1,171.9,352,48.83522727
Fiji,423.741,642.116,1065.857,60.24410404
Finland,38122.778,32140.222,70263,45.74274085
France,468545.339,113397.461,581942.8,19.48601495
French Guiana,309.798,599.93,909.728,65.94608498
French Polynesia,488,202.521,690.521,29.32872425
Gabon,839.79,985.457,1825.247,53.99033665
Gambia,392.303,3.572,395.875,0.902305021
Georgia,2114.9,10033.7,12148.6,82.59140971
Germany,418391,224768,643159,34.94750132
Ghana,10195,6418.219,16613.219,38.63320528
Greece,37114.356,16148.429,53262.785,30.318409
